column,missing_rate
mo_sin_rcnt_tl,0.03110053032223191
num_tl_30dpd,0.03110053032223191
num_accts_ever_120_pd,0.03110053032223191
num_actv_rev_tl,0.03110053032223191
num_il_tl,0.03110053032223191
num_op_rev_tl,0.03110053032223191
num_rev_tl_bal_gt_0,0.03110053032223191
num_tl_90g_dpd_24m,0.03110053032223191
num_tl_op_past_12m,0.03110053032223191
tot_hi_cred_lim,0.03110053032223191
total_il_high_credit_limit,0.03110053032223191
num_bc_tl,0.03110053032223191
num_actv_bc_tl,0.03110053032223191
total_rev_hi_lim,0.03110053032223191
tot_coll_amt,0.03110053032223191
tot_cur_bal,0.03110053032223191
num_bc_sats,0.02593133722681593
num_sats,0.02593133722681593
acc_open_past_24mths,0.022144901072720363
mort_acc,0.022144901072720363
total_bc_limit,0.022144901072720363
total_bal_ex_mort,0.022144901072720363
title,0.010332635762093261
last_pymnt_d,0.0010881580536302679
revol_util,0.0008116951335006265
dti,0.0007714421323297508
pub_rec_bankruptcies,0.0006183922597459814
chargeoff_within_12_mths,7.873663965292182e-05
collections_12_mths_ex_med,7.873663965292182e-05
tax_liens,6.104301276462478e-05
last_credit_pull_d,4.644577058177972e-05
inq_last_6mths,2.7867462349067834e-05
total_acc,2.7425121676860406e-05
delinq_2yrs,2.7425121676860406e-05
earliest_cr_line,2.7425121676860406e-05
open_acc,2.7425121676860406e-05
pub_rec,2.7425121676860406e-05
acc_now_delinq,2.7425121676860406e-05
delinq_amnt,2.7425121676860406e-05
annual_inc,1.636660487167476e-05
zip_code,1.5039582855052482e-05
purpose,1.4597242182845055e-05
issue_d,1.4597242182845055e-05
url,1.4597242182845055e-05
pymnt_plan,1.4597242182845055e-05
sub_grade,1.4597242182845055e-05
funded_amnt,1.4597242182845055e-05
loan_status,1.4597242182845055e-05
loan_amnt,1.4597242182845055e-05
installment,1.4597242182845055e-05
int_rate,1.4597242182845055e-05
debt_settlement_flag,1.4597242182845055e-05
verification_status,1.4597242182845055e-05
grade,1.4597242182845055e-05
term,1.4597242182845055e-05
disbursement_method,1.4597242182845055e-05
home_ownership,1.4597242182845055e-05
funded_amnt_inv,1.4597242182845055e-05
application_type,1.4597242182845055e-05
hardship_flag,1.4597242182845055e-05
addr_state,1.4597242182845055e-05
last_fico_range_low,1.4597242182845055e-05
last_fico_range_high,1.4597242182845055e-05
last_pymnt_amnt,1.4597242182845055e-05
collection_recovery_fee,1.4597242182845055e-05
recoveries,1.4597242182845055e-05
total_rec_late_fee,1.4597242182845055e-05
total_rec_int,1.4597242182845055e-05
total_rec_prncp,1.4597242182845055e-05
total_pymnt_inv,1.4597242182845055e-05
total_pymnt,1.4597242182845055e-05
out_prncp_inv,1.4597242182845055e-05
out_prncp,1.4597242182845055e-05
initial_list_status,1.4597242182845055e-05
policy_code,1.4597242182845055e-05
revol_bal,1.4597242182845055e-05
fico_range_high,1.4597242182845055e-05
fico_range_low,1.4597242182845055e-05
id,0.0
